סוג_מבנה,סוג_הזמנה,סוג_חיבור,חיבור_קיים,חיבור_מבוקש,גודל_חיבור,התקנת_מונים,גודל_חיבור_ציבורי,מספר_יחידות,עלות_הזמנה,עלות_חפירה,עלות_בדיקת_מתקן,סהכ_לפני_מעמ,מעמ,סהכ_כולל,endpoint
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X80,,,,,9015.18,0.00,545.35,9560.53,1720.90,11281.43,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X100,,,,,11323.83,0.00,545.35,11869.18,2136.45,14005.63,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X125,,,,,14197.19,0.00,545.35,14742.54,2653.66,17396.19,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X160,,,,,18216.57,0.00,545.35,18761.92,3377.14,22139.06,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X200,,,,,24339.01,3343.55,545.35,28227.91,5081.02,33308.94,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X250,,,,,28682.35,3343.55,545.35,32571.25,5862.83,38434.08,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X315,,,,,34331.20,3343.55,545.35,38220.10,6879.62,45099.72,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X400,,,,,41737.47,3343.55,545.35,45626.37,8212.75,53839.12,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X500,,,,,50399.04,3343.55,545.35,54287.94,9771.83,64059.77,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X630,,,,,61696.74,3343.55,545.35,65585.64,11805.42,77391.06,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,1X40,3X800,,,,,76383.75,3343.55,545.35,80272.65,14449.08,94721.73,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X25,3X35,,,,,2551.17,0.00,545.35,3096.52,557.37,3653.89,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X25,3X40,,,,,3159.50,0.00,545.35,3704.85,666.87,4371.73,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X25,3X50,,,,,5577.12,0.00,545.35,6122.47,1102.04,7224.51,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X25,3X63,,,,,7071.93,0.00,545.35,7617.28,1371.11,8988.39,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X25,3X80,,,,,9015.18,0.00,545.35,9560.53,1720.90,11281.43,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X25,3X100,,,,,11323.83,0.00,545.35,11869.18,2136.45,14005.63,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X25,3X125,,,,,14197.19,0.00,545.35,14742.54,2653.66,17396.19,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X25,3X160,,,,,18216.57,0.00,545.35,18761.92,3377.14,22139.06,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X25,3X200,,,,,24339.01,3343.55,545.35,28227.91,5081.02,33308.94,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X25,3X250,,,,,28682.35,3343.55,545.35,32571.25,5862.83,38434.08,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X25,3X315,,,,,34331.20,3343.55,545.35,38220.10,6879.62,45099.72,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X25,3X400,,,,,41737.47,3343.55,545.35,45626.37,8212.75,53839.12,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X25,3X500,,,,,50399.04,3343.55,545.35,54287.94,9771.83,64059.77,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X25,3X630,,,,,61696.74,3343.55,545.35,65585.64,11805.42,77391.06,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X25,3X800,,,,,76383.75,3343.55,545.35,80272.65,14449.08,94721.73,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X35,3X40,,,,,1960.22,0.00,545.35,2505.57,451.00,2956.57,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X35,3X50,,,,,4431.10,0.00,545.35,4976.45,895.76,5872.21,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X35,3X63,,,,,5925.91,0.00,545.35,6471.26,1164.83,7636.08,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X35,3X80,,,,,7869.16,0.00,545.35,8414.51,1514.61,9929.12,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X35,3X100,,,,,10177.81,0.00,545.35,10723.16,1930.17,12653.33,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X35,3X125,,,,,13051.17,0.00,545.35,13596.52,2447.37,16043.89,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X35,3X160,,,,,17070.54,0.00,545.35,17615.89,3170.86,20786.76,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X35,3X200,,,,,23472.86,3343.55,545.35,27361.76,4925.12,32286.87,sumIndustriealExtensionOfExsiting
